strain,date,url,clade_membership,current_frequency,mutational_fitness,country,region,division,genbank_accession,host,pango_lineage,S1_mutations,epiweek,emerging_lineage,recency,author,accession,submitting_lab,originating_lab,logistic_growth
KEN/SS6905/2022,2022-02-03,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198902,Homo sapiens,BA.1.1.1,28,202205,,Older,Githinji et al AA,,,,
KEN/SS6907/2022,2022-02-03,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198904,Homo sapiens,BA.1.1.1,28,202205,,Older,Githinji et al AB,,,,
Japan/SZ-NIG-4-C3836/2022,2022-02-14,,21K (Omicron),,1.29,Japan,Asia,Shizuoka,BS003827,Homo sapiens,BC.1,29,202207,,Older,Tsuchiya et al D,,,,
Japan/SZ-NIG-4-C3690/2022,2022-02-13,,21K (Omicron),,1.29,Japan,Asia,Shizuoka,BS003813,Homo sapiens,BC.1,29,202207,,Older,Tsuchiya et al E,,,,
Japan/SZ-NIG-Y213905/2022,2022-03-02,,21K (Omicron),,1.29,Japan,Asia,Shizuoka,BS004079,Homo sapiens,BC.1,29,202209,,Older,Nagaoka et al G,,,,
Japan/SZ-NIG-4-C3512/2022,2022-02-12,,21K (Omicron),,1.3,Japan,Asia,Shizuoka,BS003537,Homo sapiens,BC.1,29,202206,,Older,Tsuchiya et al F,,,,
Japan/SZ-NIG-4-C5295/2022,2022-03-03,,21K (Omicron),,1.3,Japan,Asia,Shizuoka,BS004002,Homo sapiens,BC.1,29,202209,,Older,Tsuchiya et al G,,,,
Japan/SZ-NIG-4-C5087/2022,2022-02-27,,21K (Omicron),,1.29,Japan,Asia,Shizuoka,BS003971,Homo sapiens,BC.1,29,202209,,Older,Tsuchiya et al H,,,,
Japan/SZ-NIG-Y213502/2022,2022-02-09,,21K (Omicron),,1.3,Japan,Asia,Shizuoka,BS003645,Homo sapiens,BC.1,29,202206,,Older,Nagaoka et al H,,,,
OW122667,2022-02-01,,21K (Omicron),,1.3,Slovakia,Europe,Slovakia,OW122667,Homo sapiens,BA.1.1.1,27,202205,,Older,? J,,"Laboratory of Genomics and Bioinformatics, Comenius University Science Park","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",
OW173465,2022-02-20,,21K (Omicron),,1.27,Slovakia,Europe,Slovakia,OW173465,Homo sapiens,BA.1.1.1,27,202208,,Older,? J,,"Laboratory of Genomics and Bioinformatics, Comenius University Science Park","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",
OW982015,2022-05-06,,21K (Omicron),,1.28,Slovakia,Europe,Slovakia,OW982015,Homo sapiens,BA.1.1.1,25,202218,,Older,? J,,"Laboratory of Genomics and Bioinformatics, Comenius University Science Park","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",
FRA/IHUCOVID-064265_Nova1RZ/2022,2022-01-18,,21K (Omicron),,1.3,France,Europe,France,ON268339,Homo sapiens,BA.1.1.1,28,202203,,Older,Levasseur et al V,,,,
Liechtenstein/FL-Risch-2241300365/2022,2022-03-07,,21K (Omicron),,1.29,Liechtenstein,Europe,Liechtenstein,OW722701,Homo sapiens,BA.1.1.1,28,202210,,Older,? AN,,Dr. Risch,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",
KEN/SS6880/2022,2022-01-20,,21K (Omicron),,1.29,Kenya,Africa,Kenya,ON198883,Homo sapiens,BA.1.1.1,28,202203,,Older,Githinji et al AC,,,,
FRA/IHUCOVID-062558_Nano1/2022,2022-02-07,,21K (Omicron),,1.29,France,Europe,France,ON266472,Homo sapiens,BA.1.1.1,29,202206,,Older,Levasseur et al W,,,,
KEN/SS6891/2022,2022-01-18,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198890,Homo sapiens,BA.1.1.1,28,202203,,Older,Githinji et al AD,,,,
FRA/IHUCOVID-066520_Nova1/2022,2022-02-07,,21K (Omicron),,1.3,France,Europe,France,ON444249,Homo sapiens,BA.1.1.1,28,202206,,Older,Levasseur et al X,,,,
KEN/SS6786/2022,2022-01-19,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198829,Homo sapiens,BA.1.1.1,28,202203,,Older,Githinji et al AE,,,,
PAK/25192/2022,2022-01-20,,21K (Omicron),,1.3,Pakistan,Asia,Sindh,ON437571,Homo sapiens,BA.1.1.1,28,202203,,Older,Nisar et al F,,,,
FRA/IHUCOVID-061427_Nano1/2022,2022-01-31,,21K (Omicron),,1.3,France,Europe,France,ON264811,Homo sapiens,BA.1.1.1,28,202205,,Older,Levasseur et al Y,,,,
FRA/IHUCOVID-071611-N1M/2022,2022-03-07,,21K (Omicron),,1.3,France,Europe,France,ON313989,Homo sapiens,BA.1.1.1,28,202210,,Older,Beye et al D,,,,
Switzerland/BS-UHB-28068nk/2022,2022-04-01,,21K (Omicron),,1.26,Switzerland,Europe,Basel-Stadt,OW851573,Homo sapiens,BA.1.1.1,26,202213,,Older,? AO,,University Hospital Basel,"Clinical Virology, University Hospital Basel, Basel, Switzerland",
KEN/SS8640/2022,2022-01-05,,21K (Omicron),,1.29,Kenya,Africa,Kenya,ON739140,Homo sapiens,BA.1.1,28,202201,,Older,Githinji et al AF,,,,
KEN/SS6955/2022,2022-01-27,,21K (Omicron),,1.29,Kenya,Africa,Kenya,ON198936,Homo sapiens,BA.1.1,29,202204,,Older,Githinji et al AG,,,,
DJI/NAMRU3_B680/2022,2022-01-20,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099611,Homo sapiens,BA.1.1,28,202203,,Older,Voegtly et al V,,,,
KEN/SS9106/2021,2021-12-18,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON871904,Homo sapiens,BA.1.1,28,202150,,One month ago,Githinji et al AH,,,,
KEN/SS6341/2022,2022-02-24,,21K (Omicron),,1.12,Kenya,Africa,Kenya,ON198672,Homo sapiens,BA.1.1,29,202208,,Older,Githinji et al AI,,,,
SYC/SS7738/2022,2022-01-28,,21K (Omicron),,1.32,Seychelles,Africa,Seychelles,ON603445,Homo sapiens,BA.1.1,28,202204,,Older,Githinji et al AJ,,,,
KEN/SS6881/2022,2022-01-20,,21K (Omicron),,1.29,Kenya,Africa,Kenya,ON198884,Homo sapiens,BA.1.1,28,202203,,Older,Githinji et al AK,,,,
PAK/39960/2022,2022-02-06,,21K (Omicron),,1.27,Pakistan,Asia,Sindh,ON459725,Homo sapiens,BA.1.1,28,202206,,Older,Khan et al D,,,,
KEN/C115415/2022,2022-02-23,,21K (Omicron),,1.25,Kenya,Africa,Kenya,ON198074,Homo sapiens,BA.1.1,28,202208,,Older,Githinji et al AL,,,,
KEN/SS6781/2022,2022-01-18,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198826,Homo sapiens,BA.1.1,28,202203,,Older,Githinji et al AM,,,,
KEN/SS6686/2022,2022-01-25,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198742,Homo sapiens,BA.1.1,28,202204,,Older,Githinji et al AN,,,,
DJI/NAMRU3_B699/2022,2022-01-19,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099612,Homo sapiens,BA.1.1,28,202203,,Older,Voegtly et al W,,,,
DJI/NAMRU3_C116/2022,2022-01-27,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099644,Homo sapiens,BA.1.1,28,202204,,Older,Voegtly et al X,,,,
PAK/25233/2022,2022-01-20,,21K (Omicron),,1.3,Pakistan,Asia,Sindh,ON437572,Homo sapiens,BA.1.1,28,202203,,Older,Nisar et al G,,,,
KEN/SS6879/2022,2022-01-20,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198882,Homo sapiens,BA.1.1,28,202203,,Older,Githinji et al AO,,,,
KEN/SS6874/2022,2022-01-19,,21K (Omicron),,1.29,Kenya,Africa,Kenya,ON198877,Homo sapiens,BA.1.1,28,202203,,Older,Githinji et al AP,,,,
OW861758,2022-02-03,,21K (Omicron),,1.34,Germany,Europe,Baden-Wuerttemberg,OW861758,Homo sapiens,BA.1.1,28,202205,,Older,? D,,Robert Koch Institute,"Eurofins LifeCodexx GmbH, Line-Eid-Strasse 3; 78467 Konstanz",
Liechtenstein/FL-Risch-2240400179/2022,2022-03-21,,21K (Omicron),,1.33,Liechtenstein,Europe,Liechtenstein,OW491085,Homo sapiens,BA.1.1,28,202212,,Older,? AP,,Dr. Risch,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",
USA/RI-CDCBI-RIDOH_JISDOSZCSNPX24QY/2022,2022-02-08,,21K (Omicron),,1.29,USA,North America,Rhode Island,OM916529,Homo sapiens,BA.1.1,28,202206,,Older,Lemieux et al I,,Broad Institute Genomic Center for Infectious Diseases,Rhode Island Department of Health,
KEN/SS5973/2022,2022-01-24,,21K (Omicron),,1.29,Kenya,Africa,Kenya,ON198467,Homo sapiens,BA.1.1,28,202204,,Older,Githinji et al AQ,,,,
DJI/NAMRU3_C111/2022,2022-01-27,,21K (Omicron),,1.29,Djibouti,Africa,Djibouti,ON099641,Homo sapiens,BA.1.1,28,202204,,Older,Voegtly et al Y,,,,
USA/MO-CDC-QDX34588577/2022,2022-03-06,,21K (Omicron),,1.3,USA,North America,Missouri,ON035112,Homo sapiens,BA.1.1,28,202210,,Older,Howard et al BN,,CDC-OAMD,Quest Diagnostics Incorporated,
DJI/NAMRU3_B546/2022,2022-01-18,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099604,Homo sapiens,BA.1.1,28,202203,,Older,Voegtly et al Z,,,,
DJI/NAMRU3_B961/2022,2022-02-01,,21K (Omicron),,1.29,Djibouti,Africa,Djibouti,ON099636,Homo sapiens,BA.1.1,28,202205,,Older,Voegtly et al AA,,,,
SYC/SS7750/2022,2022-01-31,,21K (Omicron),,1.32,Seychelles,Africa,Seychelles,ON603450,Homo sapiens,BA.1.1,29,202205,,Older,Githinji et al AR,,,,
USA/ME-CDC-ASC210690213/2022,2022-02-01,,21K (Omicron),,1.3,USA,North America,Maine,OM703541,Homo sapiens,BA.1.1,28,202205,,Older,Howard et al BO,,CDC-OAMD,Aegis Sciences Corporation,
DJI/NAMRU3_B863/2022,2022-02-01,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099623,Homo sapiens,BA.1.1,28,202205,,Older,Voegtly et al AB,,,,
DJI/NAMRU3_C232/2022,2022-02-07,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON951990,Homo sapiens,BA.1.1,28,202206,,One week ago,Arnold et al N,,,,
DJI/NAMRU3_B882/2022,2022-02-02,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099632,Homo sapiens,BA.1.1,28,202205,,Older,Voegtly et al AC,,,,
DJI/NAMRU3_B802/2022,2022-01-21,,21K (Omicron),,1.29,Djibouti,Africa,Djibouti,ON099615,Homo sapiens,BA.1.1,28,202203,,Older,Voegtly et al AD,,,,
KEN/SS6957/2022,2022-01-27,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198938,Homo sapiens,BA.1.1,28,202204,,Older,Githinji et al AS,,,,
KEN/SS6951/2022,2022-01-26,,21K (Omicron),,1.29,Kenya,Africa,Kenya,ON198932,Homo sapiens,BA.1.1,29,202204,,Older,Githinji et al AT,,,,
KEN/SS6654/2022,2022-01-18,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198725,Homo sapiens,BA.1.1,28,202203,,Older,Githinji et al AU,,,,
KEN/SS6662/2022,2022-01-18,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198728,Homo sapiens,BA.1.1,28,202203,,Older,Githinji et al AV,,,,
KEN/SS6967/2022,2022-02-01,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198943,Homo sapiens,BA.1.1,28,202205,,Older,Githinji et al AW,,,,
KEN/SS6673/2022,2022-01-18,,21K (Omicron),,1.29,Kenya,Africa,Kenya,ON198735,Homo sapiens,BA.1.1,28,202203,,Older,Githinji et al AX,,,,
OW515087,2022-01-20,,21K (Omicron),,1.29,United Kingdom,Europe,United Kingdom,OW515087,Homo sapiens,BA.1.1,28,202203,,Older,? A,,Quadram Institute Bioscience,Quadram Institute Bioscience,
DJI/NAMRU3_B872/2022,2022-01-30,,21K (Omicron),,1.29,Djibouti,Africa,Djibouti,ON099629,Homo sapiens,BA.1.1,28,202205,,Older,Voegtly et al AE,,,,
DJI/NAMRU3_B877/2022,2022-01-28,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099630,Homo sapiens,BA.1.1,28,202204,,Older,Voegtly et al AF,,,,
DJI/NAMRU3_B878/2022,2022-01-30,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON113310,Homo sapiens,BA.1.1,28,202205,,Older,Voegtly et al AG,,,,
DJI/NAMRU3_B864/2022,2022-02-02,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099624,Homo sapiens,BA.1.1,28,202205,,Older,Voegtly et al AH,,,,
DJI/NAMRU3_C614/2022,2022-02-07,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON951984,Homo sapiens,BA.1.1,28,202206,,One week ago,Arnold et al O,,,,
DJI/NAMRU3_B884/2022,2022-02-01,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099633,Homo sapiens,BA.1.1,28,202205,,Older,Voegtly et al AI,,,,
DJI/NAMRU3_B865/2022,2022-02-06,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099625,Homo sapiens,BA.1.1,28,202206,,Older,Voegtly et al AJ,,,,
DJI/NAMRU3_C233/2022,2022-02-04,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099649,Homo sapiens,BA.1.1,28,202205,,Older,Voegtly et al AK,,,,
DJI/NAMRU3_C583/2022,2022-02-06,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099650,Homo sapiens,BA.1.1,28,202206,,Older,Voegtly et al AL,,,,
DJI/NAMRU3_C586/2022,2022-02-11,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON951991,Homo sapiens,BA.1.1,28,202206,,One week ago,Arnold et al P,,,,
DJI/NAMRU3_C594/2022,2022-02-08,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON951983,Homo sapiens,BA.1.1,28,202206,,One week ago,Arnold et al Q,,,,
KEN/SS6678/2022,2022-01-20,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198737,Homo sapiens,BA.1.1,28,202203,,Older,Githinji et al AY,,,,
KEN/SS6872/2022,2022-01-19,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198875,Homo sapiens,BA.1.1,28,202203,,Older,Githinji et al AZ,,,,
KEN/SS6929/2022,2022-01-21,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198923,Homo sapiens,BA.1.1,28,202203,,Older,Githinji et al BA,,,,
KEN/SS6303/2022,2022-01-22,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198655,Homo sapiens,BA.1.1,27,202203,,Older,Githinji et al BB,,,,
DJI/NAMRU3_C126/2022,2022-01-26,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099647,Homo sapiens,BA.1.1,28,202204,,Older,Voegtly et al AM,,,,
DJI/NAMRU3_C120/2022,2022-01-26,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099646,Homo sapiens,BA.1.1,28,202204,,Older,Voegtly et al AN,,,,
KEN/SS6687/2022,2022-01-25,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198743,Homo sapiens,BA.1.1,28,202204,,Older,Githinji et al BC,,,,
DJI/NAMRU3_C114/2022,2022-01-27,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099643,Homo sapiens,BA.1.1,28,202204,,Older,Voegtly et al AO,,,,
DJI/NAMRU3_B879/2022,2022-01-30,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099631,Homo sapiens,BA.1.1,28,202205,,Older,Voegtly et al AP,,,,
DJI/NAMRU3_B871/2022,2022-01-31,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099628,Homo sapiens,BA.1.1,28,202205,,Older,Voegtly et al AQ,,,,
DJI/NAMRU3_B868/2022,2022-01-31,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099626,Homo sapiens,BA.1.1,28,202205,,Older,Voegtly et al AR,,,,
DJI/NAMRU3_B896/2022,2022-01-30,,21K (Omicron),,1.29,Djibouti,Africa,Djibouti,ON099634,Homo sapiens,BA.1.1,28,202205,,Older,Voegtly et al AS,,,,
DJI/NAMRU3_B858/2022,2022-02-01,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099620,Homo sapiens,BA.1.1,28,202205,,Older,Voegtly et al AT,,,,
KEN/SS6026/2022,2022-02-09,,21K (Omicron),,1.32,Kenya,Africa,Kenya,ON198491,Homo sapiens,BA.1.1,28,202206,,Older,Githinji et al BD,,,,
KEN/SS4992/2022,2022-02-19,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198171,Homo sapiens,BA.1.1,28,202207,,Older,Githinji et al BE,,,,
KEN/SS4993/2022,2022-02-19,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198172,Homo sapiens,BA.1.1,28,202207,,Older,Githinji et al BF,,,,
DJI/NAMRU3_B860/2022,2022-02-04,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099622,Homo sapiens,BA.1.1,28,202205,,Older,Voegtly et al AU,,,,
DJI/NAMRU3_C595/2022,2022-02-07,,21K (Omicron),,1.3,Djibouti,Africa,Djibouti,ON099651,Homo sapiens,BA.1.1,28,202206,,Older,Voegtly et al AV,,,,
USA/LA-EVTL13087/2022,2022-02-01,,21K (Omicron),,1.3,USA,North America,Louisiana,ON947585,Homo sapiens,BA.1.1,28,202205,,One week ago,Atkins et al A,,,,
SYC/SS7743/2022,2022-01-28,,21K (Omicron),,1.29,Seychelles,Africa,Seychelles,ON603447,Homo sapiens,BA.1.1,29,202204,,Older,Githinji et al BG,,,,
BGD/Laila_1020/2022,2022-01-19,,21K (Omicron),,1.27,Bangladesh,Asia,Bangladesh,OM760602,Homo sapiens,BA.1.1,27,202203,,Older,Banu et al B,,,,
SYC/SS7746/2022,2022-01-29,,21K (Omicron),,1.3,Seychelles,Africa,Seychelles,ON603526,Homo sapiens,BA.1.1,28,202204,,Older,Githinji et al BH,,,,
OX071258,2022-02-04,,21K (Omicron),,1.3,United Kingdom,Europe,Scotland,OX071258,Homo sapiens,BA.1.1,28,202205,,Older,? A,,"West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Res","West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research",
HongKong/HKU-344/2021,2021-11-27,,21K (Omicron),,1.3,Hong Kong,Asia,Hong Kong,OM212473,Homo sapiens,BA.1.1,28,202147,,Older,To et al F,,,,
Switzerland/TI-EOC-26654148/2022,2022-02-08,,21K (Omicron),,1.3,Switzerland,Europe,Ticino,OV973370,Homo sapiens,BA.1.1,28,202206,,Older,? AQ,,"Laboratorio di Microbiologia, Dipartimento di Medicina di Laboratorio EOLAB, Ente Ospedaliero Cantonale, Bellinzona, Switzerland","EOC Ospedale Regionale Locarno ODL, Locarno, Switzerland",
USA/TN-CDC-ASC210688992/2022,2022-01-26,,21K (Omicron),,1.24,USA,North America,Tennessee,OM643855,Homo sapiens,BA.1.1,28,202204,,Older,Howard et al BP,,CDC-OAMD,Aegis Sciences Corporation,
Liechtenstein/FL-Risch-2241300717/2022,2022-03-08,,21K (Omicron),,1.3,Liechtenstein,Europe,Liechtenstein,OW605242,Homo sapiens,BA.1.1,28,202210,,Older,? AR,,Dr. Risch,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",
USA/MS-CDC-STM-9KUHN3UWD/2022,2022-01-25,,21K (Omicron),,1.29,USA,North America,Mississippi,OM671000,Homo sapiens,BA.1.1,28,202204,,Older,Howard et al BQ,,CDC-OAMD,'Helix',
PAK/38180/2022,2022-02-03,,21K (Omicron),,1.27,Pakistan,Asia,Sindh,ON437584,Homo sapiens,BA.1.1,28,202205,,Older,Nisar et al H,,,,
USA/PA-CDC-QDX33633294/2022,2022-02-04,,21K (Omicron),,1.31,USA,North America,Pennsylvania,OM794914,Homo sapiens,BA.1.1,28,202205,,Older,Howard et al BR,,CDC-OAMD,Quest Diagnostics Incorporated,
THA/CONI-1965/2022,2022-01-29,,21K (Omicron),,1.26,Thailand,Asia,Bangkok,ON210877,Homo sapiens,BA.1.1,28,202204,,Older,Batty et al Q,,,,
USA/KS-CDC-QDX34588584/2022,2022-03-07,,21K (Omicron),,1.3,USA,North America,Kansas,ON035305,Homo sapiens,BA.1.1,28,202210,,Older,Howard et al BS,,CDC-OAMD,Quest Diagnostics Incorporated,
WestBank/28_2201_511_S3/2022,2022-01-20,,21K (Omicron),,1.28,Palestine,Asia,Ramallah and al-Bireh Governorate,ON375751,Homo sapiens,BA.1.1,29,202203,,Older,Nasereddin et al C,,,,
DJI/NAMRU3_B674/2022,2022-01-20,,21K (Omicron),,1.29,Djibouti,Africa,Djibouti,ON099609,Homo sapiens,BA.1.1,29,202203,,Older,Voegtly et al AW,,,,
USA/IN-CDC-STM-52CQBC6E9/2022,2022-02-07,,21K (Omicron),,1.3,USA,North America,Indiana,OM756153,Homo sapiens,BA.1.1,28,202206,,Older,Howard et al BT,,CDC-OAMD,'Helix',
USA/OR-CDC-2-5693054/2022,2022-02-08,,21K (Omicron),,1.3,USA,North America,Oregon,ON001294,Homo sapiens,BA.1.1,28,202206,,Older,Sheth et al Q,,CDC DVD Genomics and DIscovery Team,OR State PHL-Virology/Immunology Section,
USA/SD-CDC-IBX010761942226/2022,2022-02-11,,21K (Omicron),,1.3,USA,North America,South Dakota,OM782016,Homo sapiens,BA.1.1,28,202206,,Older,Howard et al BU,,CDC-OAMD,Infinity Biologix,
USA/MI-CDC-STM-SDEP8TDG7/2022,2022-03-09,,21K (Omicron),,1.3,USA,North America,Michigan,ON056546,Homo sapiens,BA.1.1,28,202210,,Older,Howard et al BV,,CDC-OAMD,'Helix',
USA/WY-CDC-ASC210755371/2022,2022-03-01,,21K (Omicron),,1.3,USA,North America,Wyoming,ON079116,Homo sapiens,BA.1.1,28,202209,,Older,Howard et al BW,,CDC-OAMD,Aegis Sciences Corporation,
USA/WA-CDC-QDX33873828/2022,2022-02-10,,21K (Omicron),,1.29,USA,North America,Washington,OM894208,Homo sapiens,BA.1.1,28,202206,,Older,Howard et al BX,,CDC-OAMD,Quest Diagnostics Incorporated,
SYC/SS7700/2022,2022-01-19,,21K (Omicron),,1.29,Seychelles,Africa,Seychelles,ON603434,Homo sapiens,BA.1.1,28,202203,,Older,Githinji et al BI,,,,
Japan/SZ-NIG-4-C5410/2022,2022-03-05,,21K (Omicron),,1.29,Japan,Asia,Shizuoka,BS004021,Homo sapiens,BA.1.1.2,28,202209,,Older,Tsuchiya et al I,,,,
USA/OH-CDC-ASC210730490/2022,2022-02-27,,21K (Omicron),,1.3,USA,North America,Ohio,OM968968,Homo sapiens,BA.1.1,28,202209,,Older,Howard et al BY,,CDC-OAMD,Aegis Sciences Corporation,
Switzerland/BE-IFIK-7776-1677/2022,2022-03-28,,21K (Omicron),,1.29,Switzerland,Europe,Bern,OW409426,Homo sapiens,BA.1.1.18,29,202213,,Older,? AS,,"Institute for Infectious Diseases, University of Bern, Switzerland","Institute for Infectious Diseases, University of Bern, Switzerland",
OX083255,2022-01-18,,21K (Omicron),,1.29,United Kingdom,Europe,England,OX083255,Homo sapiens,BA.1.1.14,29,202203,,Older,? A,,Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care N,Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust,
OW661872,2022-01-20,,21K (Omicron),,1.3,Germany,Europe,Baden-Wuerttemberg,OW661872,Homo sapiens,BA.1.1,29,202203,,Older,? D,,Robert Koch Institute,"Limbach - MVZ Labor Dr. Volkmann & Kollegen, Gerwigstr. 67; 76131 Karlsruhe",
KEN/SS6655/2022,2022-01-18,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198726,Homo sapiens,BA.1.1,28,202203,,Older,Githinji et al BJ,,,,
Switzerland/BL-UHB-43376931/2022,2022-03-02,,21K (Omicron),,1.33,Switzerland,Europe,Basel-Land,OW121560,Homo sapiens,BA.1.1,28,202209,,Older,? AT,,University Hospital Basel,"Clinical Virology, University Hospital Basel, Basel, Switzerland",
OW121455,2022-02-08,,21K (Omicron),,1.27,Slovakia,Europe,Slovakia,OW121455,Homo sapiens,BA.1.1,27,202206,,Older,? J,,"Biomedical Centre Martin, Jessenius Faculty of Medicine in Martin, Comenius University","Biomedical Centre Martin, Jessenius Faculty of Medicine in Martin, Comenius University",
OW121461,2022-01-28,,21K (Omicron),,1.27,Slovakia,Europe,Slovakia,OW121461,Homo sapiens,BA.1.1.15,27,202204,,Older,? J,,"Biomedical Centre Martin, Jessenius Faculty of Medicine in Martin, Comenius University","Biomedical Centre Martin, Jessenius Faculty of Medicine in Martin, Comenius University",
IRL/52-U-1219-21/2022,2022-02-03,,21K (Omicron),,1.29,Ireland,Europe,Ireland,ON242402,Homo sapiens,BA.1.1.15,28,202205,,Older,Macori et al B,,,,
OW461860,2022-02-16,,21K (Omicron),,1.29,United Kingdom,Europe,United Kingdom,OW461860,Homo sapiens,BA.1.1.15,29,202207,,Older,? A,,Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care N,Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust,
OW091934,2022-01-17,,21K (Omicron),,1.29,Slovakia,Europe,Slovakia,OW091934,Homo sapiens,BA.1.1,27,202203,,Older,? J,,"Laboratory of Genomics and Bioinformatics, Comenius University Science Park","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",
